active_from,active_to,college,height,name,position,weight,nba_3ptapg,nba_3ptpct,nba_3ptpg,nba_efgpct,nba_fg,nba_fg_per_game,nba_fga_per_game,nba_ft,nba_ft_per_g,nba_fta_p_g,nba_g_played,nba_ppg,ncaa_3ptapg,ncaa_3ptpct,ncaa_3ptpg,ncaa_efgpct,ncaa_fgapg,ncaa_fgpct,ncaa_fgpg,ncaa_ft,ncaa_ftapg,ncaa_ftpg,ncaa_games,ncaa_ppg,birth_year,career_length,bmi,age_entering_league
1991,1995,Duke University,82,Alaa Abdelnaby,F,240.0,0.0,0.0,0.0,0.502,0.502,2.4,4.8,0.701,0.9,1.3,256,5.7,0.0,,0.0,0.589,5.6,0.599,3.3,0.728,2.5,1.8,134.0,8.5,1968.0,4,25.1,23
1969,1978,Iowa State University,81,Zaid Abdul-Aziz,C,235.0,,,,,0.428,3.5,8.2,0.728,2.0,2.8,505,9.0,,,,,,,,,,,,,1946.0,9,25.2,23
1970,1989,"University of California, Los Angeles",86,Kareem Abdul-Jabbar,C,225.0,0.0,0.055999999999999994,0.0,0.5589999999999999,0.5589999999999999,10.2,18.1,0.721,4.3,6.0,1560,24.6,,,,,16.8,0.639,10.7,0.628,7.9,5.0,88.0,26.4,1947.0,19,21.4,23
1991,2001,Louisiana State University,73,Mahmoud Abdul-Rauf,G,162.0,2.3,0.354,0.8,0.47200000000000003,0.442,6.0,13.6,0.905,1.8,2.0,586,14.6,7.2,0.37200000000000005,2.7,0.537,21.9,0.474,10.4,0.863,6.4,5.5,64.0,29.0,1969.0,10,21.4,22
1998,2003,"University of Michigan, San Jose State University",78,Tariq Abdul-Wahad,F,223.0,0.3,0.237,0.1,0.42200000000000004,0.41700000000000004,3.1,7.3,0.703,1.6,2.2,236,7.8,,,,,,,,,,,,,1974.0,5,25.8,24
1997,2008,University of California,81,Shareef Abdur-Rahim,F,225.0,0.6,0.297,0.2,0.479,0.47200000000000003,6.5,13.9,0.81,4.8,6.0,830,18.1,0.8,0.381,0.3,0.532,14.2,0.518,7.4,0.6829999999999999,8.9,6.1,28.0,21.1,1976.0,11,24.1,21
1977,1981,Indiana University,79,Tom Abernethy,F,220.0,0.0,0.0,0.0,0.49200000000000005,0.49200000000000005,2.3,4.6,0.747,1.0,1.4,319,5.6,,,,,4.5,0.5329999999999999,2.4,0.6890000000000001,1.7,1.1,110.0,5.9,1954.0,4,24.8,23
1957,1957,Western Kentucky University,75,Forest Able,G,180.0,,,,,0.0,0.0,2.0,,0.0,0.0,1,0.0,,,,,,,,,,,,,1932.0,0,22.5,25
1947,1948,Salem International University,75,John Abramovic,F,195.0,,,,,0.237,3.6,15.3,0.6859999999999999,2.3,3.3,56,9.5,,,,,,,,,,,,,1919.0,1,24.4,28
2017,2018,,78,Alex Abrines,G,190.0,3.3,0.379,1.2,0.5329999999999999,0.39299999999999996,1.7,4.4,0.871,0.6,0.7,142,5.3,,,,,,,,,,,,,1993.0,1,22.0,24
2006,2009,Pepperdine University,77,Alex Acker,G,185.0,0.8,0.32,0.3,0.413,0.37,1.1,3.1,0.5,0.2,0.3,30,2.7,3.3,0.41100000000000003,1.4,0.518,11.2,0.457,5.1,0.823,3.5,2.9,88.0,14.5,1983.0,3,21.9,23
1954,1954,Long Island University,73,Don Ackerman,G,183.0,,,,,0.222,0.5,2.3,0.536,0.5,1.0,28,1.5,,,,,,,,,,,,,1930.0,0,24.1,24
1988,1993,Oral Roberts University,83,Mark Acres,F,220.0,0.0,0.5379999999999999,0.0,0.509,0.506,1.4,2.7,0.665,0.8,1.2,375,3.6,,,,,12.9,0.564,7.3,0.696,5.7,4.0,110.0,18.5,1962.0,5,22.5,26
