,Name,Position,Height_Inches,Weight,NBA_PPG,NCAA_PPG,NBA_FT_Pct,NCAA_FT_Pct,Diff_FT_Pct,NBA_3Pt_Pct,NCAA_3Pt_Pct,Diff_3Pt_Pct,NBA_3Pt_PG,NCAA_3Pt_PG,NBA_FG_Pct,NCAA_FG_Pct,Diff_FG_Pct,NBA_FG_PG,NCAA_FG_PG,NBA_EFG_Pct,NCAA_EFG_Pct,Diff_EFG_Pct,above36
1,OG Anunoby,1,80,232,5.9,6.8,0.629,0.522,0.107,0.366,0.365,0.001,1,0.5,0.469,0.563,-0.094,2.2,2.7,0.573,0.615,-0.042,1
2,Harrison Barnes,1,80,210,13.1,16.3,0.789,0.734,0.055,0.367,0.349,0.018,1,1.5,0.451,0.43,0.021,5,5.8,0.499,0.482,0.017,1
3,Shane Battier,1,80,220,8.6,13.6,0.743,0.777,-0.034,0.384,0.416,-0.032,1.3,1.7,0.437,0.5,-0.063,3.1,4.5,0.529,0.601,-0.072,1
4,Patrick Beverley,0,73,185,9.4,13,0.767,0.73,0.037,0.376,0.382,-0.006,1.7,2,0.413,0.42,-0.007,3.4,4.1,0.515,0.526,-0.011,1
5,Chris Bosh,2,83,235,19.2,15.6,0.799,0.73,0.069,0.335,0.478,-0.143,0.3,0.7,0.494,0.56,-0.066,7,5.4,0.506,0.593,-0.087,0
6,Jaylen Brown,0,79,225,10.2,14.6,0.655,0.654,0.001,0.374,0.294,0.08,1.1,0.9,0.461,0.431,0.03,3.8,4.8,0.528,0.473,0.055,1
7,Kentavious Caldwell-Pope,0,77,205,12.1,15.8,0.786,0.752,0.034,0.345,0.339,0.006,1.7,2.3,0.41,0.415,-0.005,4.4,5.3,0.487,0.508,-0.021,0
8,Mario Chalmers,0,74,190,8.9,12.2,0.792,0.767,0.025,0.351,0.419,-0.068,1.2,1.6,0.417,0.486,-0.069,3,4,0.498,0.578,-0.08,0
9,Robert Covington,1,81,215,12.7,14.8,0.821,0.802,0.019,0.359,0.422,-0.063,2.3,1.5,0.399,0.476,-0.077,4.2,5.3,0.511,0.545,-0.034,0
10,Stephen Curry,0,75,190,23.1,25.3,0.903,0.876,0.027,0.436,0.412,0.024,3.4,4,0.477,0.467,0.01,8,8.4,0.579,0.581,-0.002,1
11,Anthony Davis,2,82,253,23.4,14.2,0.797,0.709,0.088,0.31,0.15,0.16,0.3,0.1,0.518,0.623,-0.105,8.8,5.3,0.527,0.637,-0.11,0
12,Kevin Durant,1,81,240,27.1,25.8,0.882,0.816,0.066,0.384,0.404,-0.02,1.9,2.3,0.49,0.473,0.017,9.2,8.7,0.54,0.532,0.008,1
13,Paul George,1,81,220,18.6,15.5,0.845,0.803,0.042,0.375,0.396,-0.021,2.1,1.9,0.432,0.447,-0.015,6.3,5.1,0.505,0.531,-0.026,1
14,Danny Green,1,78,215,8.8,9.4,0.816,0.845,-0.029,0.395,0.375,0.02,1.8,1.3,0.418,0.455,-0.037,3.1,3.4,0.538,0.547,-0.009,1
15,Draymond Green,2,79,230,9.3,10.5,0.707,0.687,0.02,0.328,0.361,-0.033,0.9,0.6,0.438,0.467,-0.029,3.4,3.7,0.5,0.5,0,0
16,James Harden,0,77,220,23,19,0.854,0.755,0.099,0.364,0.376,-0.012,2.4,1.5,0.443,0.506,-0.063,6.8,6,0.522,0.567,-0.045,1
17,Gordon Hayward,1,80,226,15.6,14.4,0.82,0.824,-0.004,0.368,0.369,-0.001,1.3,1.7,0.444,0.47,-0.026,5.3,4.3,0.5,0.56,-0.06,1
18,Danuel House,1,79,207,5.9,14.1,0.828,0.699,0.129,0.255,0.338,-0.083,0.6,1.7,0.419,0.416,0.003,2.1,4.6,0.479,0.491,-0.012,0
19,Andre Iguodala,1,78,215,12.6,9.6,0.713,0.738,-0.025,0.333,0.274,0.059,0.9,0.5,0.465,0.424,0.041,4.5,3.3,0.511,0.455,0.056,0
20,Joe Johnson,1,79,240,16,15,0.802,0.753,0.049,0.371,0.406,-0.035,1.6,1.2,0.442,0.466,-0.024,6.1,5.7,0.497,0.516,-0.019,1
21,Kawhi Leonard,1,79,230,16.3,14.1,0.846,0.744,0.102,0.386,0.25,0.136,1.3,0.6,0.495,0.449,0.046,6,5.4,0.549,0.475,0.074,1
22,Kyle Lowry,0,73,205,14.4,9.5,0.803,0.737,0.066,0.369,0.325,0.044,1.7,0.2,0.424,0.449,-0.025,4.6,3.2,0.504,0.465,0.039,1
