"P1","P2","P3","P4","P5","Team","Mins","PTS","oPTS","POSS","oPOSS","ePOSS","ORTG","DRTG","NETRTG","FG.","oFG.","TPP","oTPP","FTP","oFTP","eFG.","oeFG.","TS.","oTS.","RIM.","oRIM.","MID.","oMID.","TPrate","oTPrate","RIMrate","oRIMrate","MIDrate","oMIDrate","FTrate","oFTrate","ASTrate","oASTrate","TOrate","oTOrate","BLKrate","oBLKrate","ORB.","DRB.","PACE","ShotsPerPoss","oShotsPerPoss","FGA","oFGA","FGM","oFGM","TPA","oTPA","TPM","oTPM","FTA","oFTA","FTM","oFTM","RIMA","oRIMA","RIMM","oRIMM","ORB","oORB","DRB","oDRB","BLK","oBLK","TO","oTO","AST","oAST"
"ANDREW.PLATEK","ANTHONY.HARRIS","ARMANDO.BACOT","CALEB.LOVE","DAYRON.SHARPE","North Carolina",1.35,2,2,2,2,2,100,100,0,1,0.5,0,0,0,0,1,0.5,1,0.5,0,0,1,0.5,0,0,0,0,1,1,0,0,1,0,0.5,0,0,0,0,1,20.25,0.5,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
"ANDREW.PLATEK","ANTHONY.HARRIS","ARMANDO.BACOT","CALEB.LOVE","GARRISON.BROOKS","North Carolina",1.983,3,6,3,4,3.5,85.714,171.429,-85.714,0.333,0.667,1,0,0,1,0.5,0.667,0.5,0.759,0,1,0,1,0.333,0.333,0.333,0.333,0.333,0.333,0,0.667,1,0,0,0.333,0,0,0,0,17,1,1,3,3,1,2,1,1,1,0,0,2,0,2,1,1,0,1,0,1,0,2,0,0,0,1,1,0
"ANDREW.PLATEK","ANTHONY.HARRIS","ARMANDO.BACOT","CALEB.LOVE","LEAKY.BLACK","North Carolina",0.233,0,2,0,1,0.5,0,400,-400,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,14,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"ANDREW.PLATEK","ANTHONY.HARRIS","ARMANDO.BACOT","CALEB.LOVE","RJ.DAVIS","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANDREW.PLATEK","ANTHONY.HARRIS","ARMANDO.BACOT","CALEB.LOVE","WALKER.KESSLER","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANDREW.PLATEK","ANTHONY.HARRIS","ARMANDO.BACOT","DAYRON.SHARPE","LEAKY.BLACK","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANDREW.PLATEK","ANTHONY.HARRIS","ARMANDO.BACOT","DAYRON.SHARPE","RJ.DAVIS","North Carolina",15.467,24,20,28,21,24.5,97.959,81.633,16.327,0.417,0.364,0.125,0.571,0.75,0,0.438,0.455,0.463,0.455,0.727,0.429,0.2,0.125,0.333,0.318,0.458,0.318,0.208,0.364,0.167,0,0.7,0.5,0.286,0.214,0.091,0.083,0.5,0.5,18.939,0.929,1.048,24,22,10,8,8,7,1,4,4,0,3,0,11,7,8,3,6,7,7,6,2,2,8,6,7,4
"ANDREW.PLATEK","ANTHONY.HARRIS","ARMANDO.BACOT","GARRISON.BROOKS","RJ.DAVIS","North Carolina",7.65,13,12,13,14,13.5,96.296,88.889,7.407,0.267,0.333,0.2,0.4,0.571,1,0.3,0.417,0.355,0.463,0.5,0.5,0.167,0,0.333,0.417,0.267,0.333,0.4,0.25,0.467,0.167,0.5,0.75,0.077,0.231,0.083,0.2,0.538,0.75,17,1.462,0.929,15,12,4,4,5,5,1,2,7,2,4,2,4,4,2,2,7,2,6,6,1,3,1,3,2,3
"ANDREW.PLATEK","ANTHONY.HARRIS","ARMANDO.BACOT","LEAKY.BLACK","RJ.DAVIS","North Carolina",1.65,4,3,3,4,3.5,114.286,85.714,28.571,0.5,0.25,1,0,1,0.5,0.75,0.25,0.808,0.303,0,1,0,0,0.5,0.75,0.5,0.25,0,0,0.5,0.5,0,0,0,0,0.25,0.5,0,0.667,14.143,1,1.25,2,4,1,1,1,3,1,0,1,2,1,1,1,1,0,1,0,1,2,1,1,1,0,0,0,0
"ANDREW.PLATEK","ANTHONY.HARRIS","ARMANDO.BACOT","LEAKY.BLACK","WALKER.KESSLER","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
