"P1","P2","P3","P4","P5","Team","Mins","PTS","oPTS","POSS","oPOSS","ePOSS","ORTG","DRTG","NETRTG","FG.","oFG.","TPP","oTPP","FTP","oFTP","eFG.","oeFG.","TS.","oTS.","RIM.","oRIM.","MID.","oMID.","TPrate","oTPrate","RIMrate","oRIMrate","MIDrate","oMIDrate","FTrate","oFTrate","ASTrate","oASTrate","TOrate","oTOrate","BLKrate","oBLKrate","ORB.","DRB.","PACE","ShotsPerPoss","oShotsPerPoss","FGA","oFGA","FGM","oFGM","TPA","oTPA","TPM","oTPM","FTA","oFTA","FTM","oFTM","RIMA","oRIMA","RIMM","oRIMM","ORB","oORB","DRB","oDRB","BLK","oBLK","TO","oTO","AST","oAST","Opponent"
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","DAYRON.SHARPE","KERWIN.WALTON","North Carolina",1.067,3,0,4,2,3,100,0,100,0,0,0,0,1,0,0,0,0.438,0,0,0,0,0,0.5,0,0,0,0.5,0,1.5,0,0,0,0,0.5,0,0,0,0,10.667,1,0,2,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,"Col. of Charleston"
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","DAYRON.SHARPE","LEAKY.BLACK","North Carolina",0,2,0,1,0,0.5,400,0,400,0,0,0,0,1,0,0,0,1.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Col. of Charleston"
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","GARRISON.BROOKS","LEAKY.BLACK","North Carolina",0,2,0,1,1,1,200,0,200,0,0,0,0,1,0,0,0,1.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Col. of Charleston"
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","GARRISON.BROOKS","PUFF.JOHNSON","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Col. of Charleston"
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","KERWIN.WALTON","WALKER.KESSLER","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Col. of Charleston"
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","LEAKY.BLACK","WALKER.KESSLER","North Carolina",0.667,2,0,1,1,1,200,0,200,0.5,0,0,0,0,0,0.5,0,0.5,0,1,0,0,0,0.5,0,0.5,1,0,0,0,0,0,0,0,0,1,0,1,1,20,2,1,2,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,"Col. of Charleston"
"ANDREW.PLATEK","ARMANDO.BACOT","DAYRON.SHARPE","KERWIN.WALTON","RJ.DAVIS","North Carolina",2.633,4,3,5,4,4.5,88.889,66.667,22.222,0.333,0.5,0,0.5,0,0,0.333,0.75,0.333,0.75,1,0,0,0,0.167,1,0.333,0,0.5,0,0,0,0.5,0,0,0.4,0,0,0.333,1,17.556,1.2,0.5,6,2,2,1,1,2,0,1,0,0,0,0,2,0,2,0,1,0,1,2,0,0,0,2,1,0,"Col. of Charleston"
"ANDREW.PLATEK","ARMANDO.BACOT","GARRISON.BROOKS","LEAKY.BLACK","RJ.DAVIS","North Carolina",1.717,0,4,2,3,2.5,0,160,-160,0,0.667,0,0,0,0,0,0.667,0,0.576,0,1,0,0,0,0.333,0,0.667,0,0,0,0.333,0,0.5,1,0,0,0,0,0.5,20.6,0,1.333,0,3,0,2,0,1,0,0,0,1,0,0,0,2,0,2,0,1,1,0,0,0,2,0,0,1,"Col. of Charleston"
"ANDREW.PLATEK","ARMANDO.BACOT","KERWIN.WALTON","RJ.DAVIS","WALKER.KESSLER","North Carolina",2.783,7,3,4,5,4.5,155.556,66.667,88.889,0.75,0.2,0,0.333,0.5,0,0.75,0.3,0.707,0.3,1,0,0.5,0,0,0.6,0.5,0.2,0.5,0.2,0.5,0,0.667,1,0.25,0.25,0.2,0,1,0.75,18.556,1.25,1,4,5,3,1,0,3,0,1,2,0,1,0,2,1,2,0,2,1,3,0,1,0,1,1,2,1,"Col. of Charleston"
"ANDREW.PLATEK","CALEB.LOVE","DAYRON.SHARPE","GARRISON.BROOKS","KERWIN.WALTON","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Col. of Charleston"
