ID,Date,Home,Away,Team,Player,MINS,POSS,FGM,FGA,FG.,TPM,TPA,TP.,FTM,FTA,FT.,RIMM,RIMA,RIM.,MIDM,MIDA,MID.,TS.,eFG.,PBACKM,PBACKA,PBACK.,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,GS
4868351,11/6/2019,North Carolina,Notre Dame,North Carolina,ANDREW.PLATEK,25.199,46,3,4,0.75,2,2,1,0,0,0,0,0,0,1,2,0.5,1,1,0,0,0,2,2,2,0,0,1,1,8,8.4
4868351,11/6/2019,North Carolina,Notre Dame,North Carolina,ARMANDO.BACOT,22.416,41,3,7,0.429,0,0,0,1,6,0.167,3,4,0.75,0,3,0,0.355,0.429,1,1,1,2,6,1,0,1,2,2,7,3.1
4868351,11/6/2019,North Carolina,Notre Dame,North Carolina,BRANDON.HUFFMAN,1.117,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4868351,11/6/2019,North Carolina,Notre Dame,North Carolina,CHRISTIAN.KEELING,21.3,40,2,4,0.5,1,3,0.333,0,0,0,0,0,0,1,1,1,0.625,0.625,0,0,0,1,0,0,0,0,5,0,5,-1.3
4868351,11/6/2019,North Carolina,Notre Dame,North Carolina,COLE.ANTHONY,36.733,67,12,24,0.5,6,11,0.545,4,5,0.8,1,3,0.333,5,10,0.5,0.645,0.625,0,0,0,0,11,5,1,0,4,2,34,24.6
4868351,11/6/2019,North Carolina,Notre Dame,North Carolina,GARRISON.BROOKS,38.716,70,4,7,0.571,0,0,0,2,3,0.667,4,5,0.8,0,2,0,0.593,0.571,1,1,1,3,6,2,1,3,3,3,10,10.5
4868351,11/6/2019,North Carolina,Notre Dame,North Carolina,JUSTIN.PIERCE,20.1,37,1,6,0.167,1,4,0.25,2,2,1,0,1,0,0,1,0,0.36,0.25,0,0,0,2,5,0,0,0,1,4,5,1.5
4868351,11/6/2019,North Carolina,Notre Dame,North Carolina,LEAKY.BLACK,32.684,60,2,7,0.286,0,0,0,1,1,1,0,2,0,2,5,0.4,0.334,0.286,0,0,0,1,6,5,0,0,1,3,5,4.7
4868351,11/6/2019,North Carolina,Notre Dame,North Carolina,WALKER.MILLER,0.233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4868920,11/8/2019,UNCW,North Carolina,North Carolina,ANDREW.PLATEK,26.717,52,2,6,0.333,0,4,0,2,2,1,1,1,1,1,1,1,0.432,0.333,0,0,0,0,1,4,1,0,1,0,6,5.7
4868920,11/8/2019,UNCW,North Carolina,North Carolina,ARMANDO.BACOT,2.684,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,-2.2
4868920,11/8/2019,UNCW,North Carolina,North Carolina,BRANDON.HUFFMAN,7.449,14,2,3,0.667,0,0,0,0,1,0,1,1,1,1,2,0.5,0.576,0.667,0,0,0,2,2,0,0,1,1,1,4,3.6
4868920,11/8/2019,UNCW,North Carolina,North Carolina,CALEB.ELLIS,1.367,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4868920,11/8/2019,UNCW,North Carolina,North Carolina,CHRISTIAN.KEELING,23.016,43,2,9,0.222,0,3,0,0,0,0,1,1,1,1,5,0.2,0.222,0.222,0,0,0,0,3,0,0,0,1,4,4,-3.2
4868920,11/8/2019,UNCW,North Carolina,North Carolina,COLE.ANTHONY,34,67,7,24,0.292,4,11,0.364,2,7,0.286,3,8,0.375,0,5,0,0.366,0.375,0,0,0,0,10,3,2,1,2,1,20,9.4
4868920,11/8/2019,UNCW,North Carolina,North Carolina,GARRISON.BROOKS,33.05,64,5,9,0.556,0,0,0,8,10,0.8,5,7,0.714,0,2,0,0.655,0.556,0,0,0,4,8,2,1,0,2,1,18,18.1
4868920,11/8/2019,UNCW,North Carolina,North Carolina,JUSTIN.PIERCE,32.733,65,7,12,0.583,4,7,0.571,0,4,0,1,1,1,2,4,0.5,0.647,0.75,0,0,0,6,6,2,0,1,0,1,18,18.5
4868920,11/8/2019,UNCW,North Carolina,North Carolina,KJ.SMITH,1.367,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.1
