Date,Home,Home_Score,Away,Away_Score,Game_ID,Box_ID,isNeutral,Detail
11/6/2019,North Carolina,76,Notre Dame,65,4868351,1797276,FALSE,NA
11/8/2019,UNCW,62,North Carolina,78,4868920,1797479,FALSE,NA
11/15/2019,North Carolina,77,Gardner-Webb,61,4875377,1798600,FALSE,NA
11/20/2019,North Carolina,75,Elon,61,4879561,1799476,FALSE,NA
11/27/2019,North Carolina,76,Alabama,67,4884332,1800541,TRUE,NA
11/28/2019,North Carolina,64,Michigan,73,4884492,1817072,TRUE,NA
11/29/2019,North Carolina,78,Oregon,74,4884628,1817071,TRUE,NA
12/4/2019,North Carolina,49,Ohio St.,74,4887533,1801437,FALSE,NA
12/8/2019,Virginia,56,North Carolina,47,4890050,1801591,FALSE,NA
12/15/2019,North Carolina,64,Wofford,68,4892527,1802626,FALSE,NA
12/18/2019,Gonzaga,94,North Carolina,81,4893240,1802853,FALSE,NA
12/21/2019,North Carolina,74,UCLA,64,4894271,1803164,TRUE,NA
12/30/2019,North Carolina,70,Yale,67,4898631,1803799,FALSE,NA
1/4/2020,North Carolina,83,Georgia Tech,96,4897624,1804510,FALSE,NA
1/8/2020,North Carolina,65,Pittsburgh,73,4899129,1804841,FALSE,NA
1/11/2020,North Carolina,76,Clemson,79,4901037,1805589,FALSE,1 OT
1/18/2020,Pittsburgh,66,North Carolina,52,4904510,1806279,FALSE,NA
1/22/2020,Virginia Tech,79,North Carolina,77,4907194,1807117,FALSE,2 OT
1/25/2020,North Carolina,94,Miami (FL),71,4908586,1807337,FALSE,NA
1/27/2020,NC State,65,North Carolina,75,4912246,1807830,FALSE,NA
2/1/2020,North Carolina,70,Boston College,71,4915604,1808365,FALSE,NA
2/3/2020,Florida St.,65,North Carolina,59,4916710,1808864,FALSE,NA
2/8/2020,North Carolina,96,Duke,98,4920581,1809789,FALSE,1 OT
2/11/2020,Wake Forest,74,North Carolina,57,4923827,1809967,FALSE,NA
2/15/2020,North Carolina,62,Virginia,64,4928680,1810414,FALSE,NA
2/17/2020,Notre Dame,77,North Carolina,76,4931243,1810924,FALSE,NA
2/22/2020,Louisville,72,North Carolina,55,4935512,1811440,FALSE,NA
2/25/2020,North Carolina,85,NC State,79,4939635,1811978,FALSE,NA
2/29/2020,Syracuse,79,North Carolina,92,4943927,1812213,FALSE,NA
3/3/2020,North Carolina,93,Wake Forest,83,4948049,1812486,FALSE,NA
3/7/2020,Duke,89,North Carolina,76,4953041,1812644,FALSE,NA
3/10/2020,North Carolina,78,#11 Virginia Tech,56,4956940,1971945,TRUE,NA
3/11/2020,North Carolina,53,#6 Syracuse,81,4958802,1972030,TRUE,NA
